site_num,date_local,pm_tot,site
124,2007-02-16,10.8,queens
124,2007-02-17,14.2,queens
124,2007-02-18,10.9,queens
124,2007-02-19,6.8,queens
124,2007-02-20,21.6,queens
124,2007-02-21,19.5,queens
124,2007-02-22,22.6,queens
124,2007-02-23,4.9,queens
124,2007-02-24,3.6,queens
124,2007-02-27,37.4,queens
124,2007-02-28,11.5,queens
124,2007-03-01,12.3,queens
124,2007-03-02,8.8,queens
124,2007-03-03,12.8,queens
124,2007-03-04,5.3,queens
124,2007-03-05,8.1,queens
124,2007-03-06,4.2,queens
124,2007-03-07,16.8,queens
124,2007-03-09,12.2,queens
124,2007-03-10,15.8,queens
124,2007-03-11,11.7,queens
124,2007-03-12,13.8,queens
124,2007-03-14,31.8,queens
124,2007-03-17,5.5,queens
124,2007-03-18,3.7,queens
124,2007-03-19,8.8,queens
124,2007-03-23,15.4,queens
124,2007-03-24,8.1,queens
124,2007-03-25,7.3,queens
124,2007-03-26,6.9,queens
124,2007-03-27,12,queens
124,2007-03-28,4.2,queens
124,2007-03-29,3.2,queens
124,2007-03-31,4.7,queens
124,2007-04-01,6.2,queens
124,2007-04-02,17.3,queens
124,2007-04-03,17.5,queens
124,2007-04-04,4,queens
124,2007-04-05,4.2,queens
124,2007-04-06,5.5,queens
124,2007-04-07,6.2,queens
124,2007-04-08,4.8,queens
124,2007-04-09,5.6,queens
124,2007-04-10,7.5,queens
124,2007-04-11,9.2,queens
124,2007-04-12,7.4,queens
124,2007-04-14,6.8,queens
124,2007-04-15,7.6,queens
124,2007-04-16,3.5,queens
124,2007-04-17,2.6,queens
124,2007-04-18,2.8,queens
124,2007-04-19,3.9,queens
124,2007-04-20,7.5,queens
124,2007-04-21,10.3,queens
124,2007-04-22,12.5,queens
124,2007-04-23,18.7,queens
124,2007-04-24,9.4,queens
124,2007-04-25,4.4,queens
124,2007-04-26,5,queens
124,2007-04-27,10,queens
124,2007-04-28,12.1,queens
124,2007-04-29,6.2,queens
124,2007-04-30,8.5,queens
124,2007-05-01,5,queens
124,2007-05-02,8.1,queens
124,2007-05-03,5.4,queens
124,2007-05-05,5.9,queens
124,2007-05-08,5.7,queens
124,2007-05-09,6,queens
124,2007-05-10,8.5,queens
124,2007-05-11,13.5,queens
124,2007-05-12,8.9,queens
124,2007-05-13,4.3,queens
124,2007-05-14,4.7,queens
124,2007-05-15,15.9,queens
124,2007-05-16,19.1,queens
124,2007-05-17,5.8,queens
124,2007-05-18,3.5,queens
124,2007-05-19,6.4,queens
124,2007-05-20,8.5,queens
124,2007-05-21,5.7,queens
124,2007-05-22,8.1,queens
124,2007-05-23,6,queens
124,2007-05-24,14.8,queens
124,2007-05-25,22.9,queens
124,2007-05-26,23.7,queens
124,2007-05-27,15.6,queens
124,2007-05-28,19.9,queens
124,2007-05-29,6.5,queens
124,2007-05-30,12.4,queens
124,2007-05-31,24.1,queens
124,2007-06-01,23.7,queens
124,2007-06-02,21.6,queens
124,2007-06-03,6.1,queens
124,2007-06-04,4.8,queens
124,2007-06-05,12.9,queens
124,2007-06-06,5.3,queens
124,2007-06-07,10.4,queens
124,2007-06-08,27.5,queens
124,2007-06-09,17.5,queens
124,2007-06-10,9.7,queens
124,2007-06-11,8.6,queens
124,2007-06-13,7.3,queens
124,2007-06-14,5.1,queens
124,2007-06-15,7.2,queens
124,2007-06-16,16.2,queens
124,2007-06-17,21.5,queens
124,2007-06-18,15.5,queens
124,2007-06-19,13.8,queens
124,2007-06-20,10.9,queens
124,2007-06-21,9.3,queens
124,2007-06-22,5.3,queens
124,2007-06-23,2.8,queens
124,2007-06-24,5.1,queens
124,2007-06-25,18.5,queens
124,2007-06-26,33.2,queens
124,2007-06-27,36,queens
124,2007-06-28,23,queens
124,2007-06-29,7.9,queens
124,2007-06-30,7.9,queens
124,2007-07-01,3.3,queens
124,2007-07-02,3.4,queens
124,2007-07-03,6.7,queens
124,2007-07-04,8.5,queens
124,2007-07-05,19.2,queens
124,2007-07-06,11.5,queens
124,2007-07-07,14.6,queens
124,2007-07-09,42.2,queens
124,2007-07-11,10.4,queens
124,2007-07-12,5,queens
124,2007-07-13,15.8,queens
124,2007-07-14,19.7,queens
124,2007-07-16,13.3,queens
124,2007-07-17,21.5,queens
124,2007-07-18,26.5,queens
124,2007-07-19,24.4,queens
124,2007-07-20,9.2,queens
124,2007-07-21,4.2,queens
124,2007-07-22,6,queens
124,2007-07-23,4.7,queens
124,2007-07-24,10.6,queens
124,2007-07-25,8.8,queens
124,2007-07-26,7.9,queens
124,2007-07-28,15.6,queens
124,2007-07-29,29,queens
124,2007-07-30,26.3,queens
124,2007-07-31,13.7,queens
124,2007-08-01,19.5,queens
124,2007-08-02,26,queens
124,2007-08-03,21.8,queens
124,2007-08-04,23.7,queens
124,2007-08-05,5.7,queens
124,2007-08-06,26.2,queens
124,2007-08-07,36.7,queens
124,2007-08-08,24.5,queens
124,2007-08-10,2,queens
124,2007-08-11,6.8,queens
124,2007-08-12,11.9,queens
124,2007-08-13,13.7,queens
124,2007-08-14,6,queens
124,2007-08-15,19,queens
124,2007-08-16,24.5,queens
124,2007-08-18,2.6,queens
124,2007-08-19,5.3,queens
124,2007-08-20,6.3,queens
124,2007-08-21,3.1,queens
124,2007-08-22,3.8,queens
124,2007-08-23,6.5,queens
124,2007-08-24,10.1,queens
124,2007-08-25,28,queens
124,2007-08-26,12,queens
124,2007-08-27,5.2,queens
124,2007-08-29,10.5,queens
124,2007-08-30,15.4,queens
124,2007-08-31,16.1,queens
124,2007-09-01,6.3,queens
124,2007-09-02,4.8,queens
124,2007-09-03,19.8,queens
124,2007-09-04,14.9,queens
124,2007-09-05,6.3,queens
124,2007-09-06,7.3,queens
124,2007-09-07,9.6,queens
124,2007-09-08,8,queens
124,2007-09-09,5.2,queens
124,2007-09-10,11,queens
124,2007-09-11,13.1,queens
124,2007-09-12,5,queens
