"","date_local","aluminum_pm2_5_lc_88104","arsenic_pm2_5_lc_88103","barium_pm2_5_lc_88107","bromine_pm2_5_lc_88109","cadmium_pm2_5_lc_88110","calcium_pm2_5_lc_88111","chromium_pm2_5_lc_88112","copper_pm2_5_lc_88114","iron_pm2_5_lc_88126","lead_pm2_5_lc_88128","magnesium_pm2_5_lc_88140","manganese_pm2_5_lc_88132","nickel_pm2_5_lc_88136","selenium_pm2_5_lc_88154","silicon_pm2_5_lc_88165","sulfate_pm2_5_lc_88403","sulfur_pm2_5_lc_88169","titanium_pm2_5_lc_88161","total_nitrate_pm2_5_lc_88306","vanadium_pm2_5_lc_88164","zinc_pm2_5_lc_88167"
"94",2002-03-06,0.0231,0.00216,0.0074,0.00639,0.003,0.0792,0.00096,0.00271,0.135,0.00607,0,0.0037,0.0383,0.00202,0.305,3.3,1.24,0.00526,4.12,0.00987,0.0598
"95",2002-03-09,0,6e-04,0.0079,0.00388,0.001,0.054,0,0.004,0.0485,0.0014,0,0,0.0104,0,0.481,2.9,1.19,0.001,1.5,0.0068,0.015
"96",2002-03-12,0,0.001,0.008,0.00586,0,0.0563,0,0.00286,0.114,0.0043,0.0115,0.0026,0.0243,0.001,0.0929,3.56,1.26,0.0071,3.89,0.00685,0.0401
"97",2002-03-15,0.017,0.001,0.01,0.00652,0.002,0.04,0.001,0.00361,0.0914,0.007,0.001,0.00131,0.0172,0.00188,0.046,9.4,2.68,0.0054,5.84,0.00929,0.0406
"98",2002-03-18,0.011,0,0.012,0.00164,0.001,0.023,0,8e-04,0.0366,0,0,0.00173,0.00652,0,0.0309,1.69,0.517,0.0044,1.01,0.00131,0.0113
"99",2002-03-21,0.014,0.0015,0.019,0.00272,0.001,0.033,0.001,0.00286,0.089,0.0042,0,0.00286,0.0171,0.001,0.0574,4.22,1.37,0.0049,2.73,0.00371,0.028
"100",2002-03-24,0.025,0.0013,0.016,0.00685,0.002,0.0775,0,0.00239,0.123,0.0074,0,0.002,0.0239,0.002,0.133,3.64,1.25,0.0086,4.14,0.00722,0.0406
"101",2002-03-27,0,0,0.0052,0.003,0,0.031,0,0.00142,0.0548,0.00353,0,0.00142,0.0151,0.00092,0.0461,3.34,1.16,0.00237,1.96,0.00286,0.0288
"102",2002-03-30,0.0143,0,0.0067,0.00409,0.0055,0.049,0.00083,0.00059,0.0792,0.00368,0.0235,0.00199,0.00835,0.00081,0.084,4.87,1.6,0.00382,0.934,0.00382,0.0202
"103",2002-04-02,0.013,0.00092,0.006,0.004,0.001,0.0457,0.00075,0.00169,0.0896,0.00264,0,0.0016,0.0128,0.00054,0.0922,4.54,1.64,0.00344,2.59,0.00461,0.0224
"104",2002-04-05,0.013,0,0.012,0.00235,0,0.024,0,0.00159,0.0493,0.0042,0,0.00122,0.0101,0,0.0413,2.79,0.924,0.0044,1.28,0.00347,0.011
"105",2002-04-08,0.0262,0,0.016,0.00619,0,0.0811,0.001,0.00173,0.118,0.0028,0,0.0013,0.0184,0.001,0.219,3.8,1.38,0.009,1.58,0.00732,0.034
